Corruption Chance: , Trial 1:, Trial 2:, Trial 3:, Trial 4:, Trial 5:, Trial 6:, Trial 7:, Trial 8:, Trial 9:, Trial 10:, Average: 

Optimal Timeout Value Trials:

0.01,557.703, 1494.869, 902.2139999999999, 651.701, 829.739, 727.004, 627.634, 494.025, 504.024, 520.762, 730.9675
0.02,509.329, 498.116, 508.80499999999995, 540.6379999999999, 494.132, 524.906, 488.98900000000003, 506.80499999999995, 467.344, 504.71, 504.37739999999997
0.03,519.492, 569.9340000000001, 514.124, 516.808, 521.4530000000001, 533.745, 555.684, 557.937, 534.492, 597.66, 542.1329
0.04,700.1579999999999, 716.001, 580.693, 564.6379999999999, 649.175, 577.312, 568.2810000000001, 621.405, 684.781, 563.3249999999999, 622.5768999999999
0.05,619.774, 621.535, 625.0219999999999, 624.598, 733.077, 624.9390000000001, 627.322, 630.12, 630.7199999999999, 759.8340000000001, 649.6941
0.060000000000000005,813.057, 737.4770000000001, 665.9920000000001, 748.323, 677.12, 674.373, 672.759, 671.8720000000001, 784.409, 663.7769999999999, 710.9159000000001
0.07,722.423, 809.703, 801.4050000000001, 1033.749, 730.349, 716.2389999999999, 721.1419999999999, 722.139, 720.15, 714.453, 769.1751999999999
0.08,769.489, 883.265, 849.8090000000001, 907.2249999999999, 855.312, 770.611, 856.956, 777.825, 799.754, 778.1909999999999, 824.8437
0.09,923.527, 830.398, 819.7959999999999, 927.608, 827.532, 827.0110000000001, 832.307, 819.087, 830.6940000000001, 811.827, 844.9787
0.09999999999999999,860.844, 876.479, 874.815, 861.711, 870.1379999999999, 877.4119999999999, 873.009, 865.7620000000001, 867.765, 978.345, 880.628
0.01,410.84900000000005, 406.197, 413.80499999999995, 417.53200000000004, 409.203, 403.95599999999996, 418.048, 422.22900000000004, 412.609, 424.61, 413.90380000000005
0.02,456.152, 512.35, 505.87800000000004, 468.375, 486.14000000000004, 468.366, 498.817, 496.933, 477.90700000000004, 467.81899999999996, 483.87369999999993
0.03,507.09400000000005, 518.1179999999999, 517.8399999999999, 546.2280000000001, 522.171, 564.8539999999999, 513.071, 531.89, 513.957, 661.753, 539.6976
0.04,623.2579999999999, 566.3209999999999, 569.3629999999999, 562.0509999999999, 638.6859999999999, 589.231, 614.788, 565.3359999999999, 565.613, 580.6139999999999, 587.5260999999998
0.05,611.636, 679.432, 617.5899999999999, 611.5699999999999, 609.467, 608.163, 614.0889999999999, 615.565, 615.9639999999999, 626.528, 621.0004000000001
0.060000000000000005,789.7650000000001, 663.793, 676.544, 667.881, 662.447, 662.674, 663.359, 656.649, 662.134, 659.653, 676.4899
0.07,706.723, 721.174, 712.13, 872.601, 793.738, 790.939, 721.759, 706.131, 711.8299999999999, 722.985, 746.001
0.08,763.6039999999999, 860.927, 751.015, 933.194, 767.7610000000001, 756.5110000000001, 762.675, 758.1329999999999, 755.158, 851.979, 796.0957000000001
0.09,804.995, 808.527, 810.427, 804.234, 809.72, 805.1899999999999, 912.43, 847.467, 855.677, 821.158, 827.9824999999998
0.09999999999999999,1110.492, 863.9639999999999, 890.7239999999999, 900.577, 856.5469999999999, 862.8090000000001, 876.976, 900.5649999999999, 864.544, 869.523, 899.6720999999998
0.01,1827.115, 1865.51, 1961.462, 1979.451, 1842.485, 1909.538, 1715.8519999999999, 1765.771, 1724.771, 2047.3919999999998, 1863.9347000000002
0.02,3274.652, 2999.873, 3208.4959999999996, 3500.219, 2601.669, 3314.851, 3159.566, 3513.7070000000003, 2998.112, 3419.147, 3199.0292
0.03,4149.383, 5097.59, 4592.698, 4953.584, 4061.6589999999997, 4706.784, 4369.307, 4391.414, 4950.961, 4475.123, 4574.8503
0.04,4035.479, 4777.588, 5096.0419999999995, 4955.766, 4540.353999999999, 4868.820000000001, 5367.227, 5340.917, 4686.641, 5179.5869999999995, 4884.8421
0.05,7795.201999999999, 5411.3009999999995, 6850.384, 6096.2880000000005, 6965.621999999999, 5826.063999999999, 5332.796, 5601.579, 5787.321000000001, 7459.874, 6312.643099999999
0.060000000000000005,8488.215, 8489.921, 8255.668, 7391.755, 8857.742, 6480.836, 6862.189, 7381.564, 6567.7029999999995, 7190.3009999999995, 7596.5894
0.07,8004.4310000000005, 8258.236, 6557.76, 7442.851, 7919.461, 7242.732, 8482.796, 8919.432999999999, 6853.101, 7373.211, 7705.4012
0.08,7296.852000000001, 10841.901, 11036.585000000001, 8593.394999999999, 11719.744, 8293.152, 9072.316, 9338.877, 9440.746000000001, 9907.940999999999, 9554.150900000002
0.09,10647.064, 9224.841, 8689.085000000001, 9626.804, 9522.458, 10033.516000000001, 11706.724, 9706.678, 10650.914999999999, 10187.95, 9999.6035
0.09999999999999999,11700.089, 9732.903, 10616.658, 11156.501, 10193.008000000002, 10289.583999999999, 10404.673999999999, 11912.989, 11071.911, 11281.544, 10835.9861
0.01,3646.551, 3714.3, 3440.541, 3549.3779999999997, 3922.25, 3730.085, 3549.452, 3527.796, 4102.474, 3631.614, 3681.4440999999997
0.02,6859.09, 6122.467000000001, 7052.227, 6837.901, 6076.602, 6812.42, 5959.438999999999, 6074.51, 6810.166, 5892.204000000001, 6449.702599999999
